County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
Plymouth,Massachusetts,5,0,0,0%,41.92808,-70.6568,2020-03-19 20:03 EDT,25,23
Barnstable,Massachusetts,2,0,0,0%,41.70194,-70.30442,2020-03-19 20:03 EDT,25,1
Hampden,Massachusetts,2,0,0,0%,42.064613,-72.422,2020-03-19 20:03 EDT,25,13
Franklin,Massachusetts,1,0,0,0%,42.58654867,-72.59777313,2020-03-19 20:03 EDT,25,11
Dallas,Texas,59,20,1,1.70%,32.77822,-96.79512,2020-03-19 20:03 EDT,48,113
Harris,Texas,29,1,0,0%,29.85762795,-95.39311138,2020-03-19 20:03 EDT,48,201
Bexar,Texas,25,0,0,0%,29.44892069,-98.5200077,2020-03-19 20:03 EDT,48,29
Travis,Texas,23,0,0,0%,30.33462266,-97.78218981,2020-03-19 20:03 EDT,48,453
Collin,Texas,13,0,1,7.70%,33.1968,-96.80393,2020-03-19 20:03 EDT,48,85
Fort Bend,Texas,12,0,0,0%,29.52745252,-95.77065084,2020-03-19 20:03 EDT,48,157
Tarrant,Texas,8,0,1,12.50%,32.8173,-97.07655,2020-03-19 20:03 EDT,48,439
Williamson,Texas,8,4,0,0%,30.64806761,-97.60077209,2020-03-19 20:03 EDT,48,491
Montgomery,Texas,7,0,0,0%,30.38862,-95.69633,2020-03-19 20:03 EDT,48,339
Smith,Texas,5,0,0,0%,32.37505601,-95.26910259,2020-03-19 20:03 EDT,48,423
Bell,Texas,5,0,0,0%,31.03765881,-97.47807382,2020-03-19 20:03 EDT,48,27
Hays,Texas,5,0,0,0%,30.1227,-97.8722,2020-03-19 20:03 EDT,48,209
Denton,Texas,5,0,0,0%,33.21659,-97.13162,2020-03-19 20:03 EDT,48,121
McLennan,Texas,5,0,0,0%,31.55234029,-97.20180587,2020-03-19 20:03 EDT,48,309
Galveston,Texas,4,0,0,0%,29.29532,-94.80791,2020-03-19 20:03 EDT,48,167
Brazoria,Texas,4,0,0,0%,29.04971,-95.562,2020-03-19 20:03 EDT,48,39
Brazos,Texas,4,1,0,0%,30.66048584,-96.30207301,2020-03-19 20:03 EDT,48,41
